address,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,yearbuilt,zipcode
Address: 66 Rondel Place,4.5,4,2615,2/12/2016,2300000,37.763849,-122.421259,Mission,9,SingleFamily,1906,94103
Address: 1610 Sacramento Street #5,2,2,1252,2/12/2016,1450000,37.791904,-122.419806,Nob Hill,4,Condominium,2002,94109
Address: 1536 Pacific Avenue #1,2,3,1444,2/12/2016,2500000,37.795383,-122.420623,Nob Hill,6,Condominium,2009,94109
Address: 541 Prentiss Street,2,3,1200,2/12/2016,171000,37.73639,-122.412103,Bernal Heights,5,SingleFamily,1953,94110
Address: 31 Hartford Street,1,2,1265,2/12/2016,871500,37.76207,-122.43369,Eureka Valley - Dolores Heights - Castro,5,Condominium,1902,94114
Address: 1600 Webster Street #106,1,1,859,2/12/2016,900000,37.78568,-122.430955,Lower Pacific Heights,4,Condominium,2005,94115
Address: 233 18th Avenue,1,2,1308,2/12/2016,1020000,37.783586,-122.477794,Central Richmond,5,Condominium,1914,94121
Address: 248 17th Avenue,1.5,2,1429,2/12/2016,1410500,37.783401,-122.476049,Central Richmond,6,Condominium,1922,94121
Address: 1374 45th Avenue,1,3,1771,2/12/2016,951000,37.761002,-122.504565,Outer Sunset,8,SingleFamily,1905,94122
Address: 1087 Palou Avenue,2,3,1452,2/12/2016,430000,37.728354,-122.381454,Bayview,8,SingleFamily,1900,94124
Address: 1486 Underwood Avenue,2,3,1115,2/12/2016,680000,37.728777,-122.389531,Bayview,6,SingleFamily,1931,94124
Address: 350 Lansdale Avenue,3,3,2378,2/12/2016,1440000,37.735851,-122.458653,Westwood Highlands,8,SingleFamily,1940,94127
Address: 120 Ulloa Street,2.5,2,2063,2/12/2016,1700000,37.744348,-122.455305,Forest Hill Extension,10,SingleFamily,1937,94127
Address: 159 Middlefield Drive,3,3,2200,2/12/2016,234000,37.731436,-122.486486,Lakeshore,6,SingleFamily,1950,94132
Address: 8 Dunsmuir Street,1,2,1250,2/12/2016,700000,37.730809,-122.414514,Portola,5,SingleFamily,1936,94134
Address: 22 West View Avenue,1,2,970,2/12/2016,744000,37.730916,-122.418729,Portola,5,SingleFamily,1943,94134
Address: 4160 17th Street,2,2,911,2/11/2016,1100000,37.762498,-122.438686,Corona Heights,4,Condominium,1904,94114
Address: 1315 21st Avenue,1.25,2,1621,2/11/2016,1325000,37.763108,-122.479527,Central Sunset,6,SingleFamily,1911,94122
Address: 4229 26th Street,3,3,2048,2/11/2016,2525000,37.747788,-122.434812,Noe Valley,7,SingleFamily,1900,94131
Address: 361 Texas Street,2,3,2080,2/10/2016,2300000,37.761845,-122.395171,Potrero Hill,7,SingleFamily,1906,94107
Address: 667 Shotwell Street #A,1,1,1212,2/10/2016,775000,37.757851,-122.415629,Mission,4,Condominium,1890,94110
Address: 2919 Pacific Avenue #6,2,2,1125,2/10/2016,1457000,37.79197,-122.44344,Pacific Heights,4,Condominium,1905,94115
Address: 2455 14th Avenue,3.75,4,1846,2/10/2016,1525000,37.742271,-122.470518,West Portal,5,SingleFamily,1932,94116
Address: 30 Beaumont Avenue,1,3,1164,2/10/2016,550000,37.780933,-122.454866,Lone Mountain,6,SingleFamily,1922,94118
Address: 108 16th Avenue,5,7,4808,2/10/2016,3800000,37.785945,-122.475319,Lake,15,MultiFamily2To4,1914,94118
Address: 766 30th Avenue,4,4,2520,2/10/2016,1900000,37.774837,-122.489397,Central Richmond,8,SingleFamily,1927,94121
Address: 601 Van Ness Avenue #629,1,1,706,2/9/2016,620000,37.781386,-122.421406,Van Ness - Civic Center,3,Condominium,1982,94102
Address: 260 King Street #815,1,1,903,2/9/2016,800000,37.777641,-122.393417,South of Market,3,Condominium,2004,94107
Address: 2040 Fell Street #12,1,2,1593,2/9/2016,872500,37.772597,-122.451587,North Panhandle,4,Condominium,1925,94117
Address: 784 Spruce Street,3,8,2600,2/9/2016,1535000,37.780606,-122.452663,Lone Mountain,10,MultiFamily2To4,1927,94118
Address: 1444 17th Avenue #101,3,3,1902,2/9/2016,1600000,37.760979,-122.474469,Inner Sunset,6,Condominium,1996,94122
Address: 1618 12th Avenue,3,4,2900,2/9/2016,1625000,37.757906,-122.468775,Inner Sunset,8,Condominium,2001,94122
Address: 5696 Diamond Heights Boulevard,3.5,3,2435,2/9/2016,2050000,37.738831,-122.439262,Diamond Heights,7,SingleFamily,1980,94131
Address: 901 Post Street #2,2,3,1207,2/8/2016,885000,37.787089,-122.416761,Downtown,9,Condominium,2002,94109
Address: 66 Cleary Court #1504,2,3,1106,2/8/2016,960000,37.784298,-122.427058,Western Addition,6,Condominium,1963,94109
Address: 1800 Bryant Street #202,2,1,935,2/8/2016,825000,37.764088,-122.410828,Mission,3,Condominium,2000,94110
Address: 3919 17th Street,1,2,968,2/8/2016,1065000,37.76241,-122.433456,Eureka Valley - Dolores Heights - Castro,4,MultiFamily2To4,1910,94114
Address: 325 Locust Street,2,3,1950,2/8/2016,1925000,37.787916,-122.452338,Presidio Heights,7,Condominium,1905,94118
Address: 50 Longview Court,2,4,1703,2/8/2016,1250000,37.748415,-122.450795,Midtown Terrace,8,SingleFamily,1955,94131
Address: 2243 Franklin Street,2,2,1463,2/5/2016,1950000,37.795139,-122.425309,Pacific Heights,7,Condominium,1900,94109
Address: 576 Brunswick Street,1,2,1200,2/5/2016,609000,37.710208,-122.445075,Crocker Amazon,5,SingleFamily,1931,94112
Address: 79 Seward Street,2,3,2650,2/5/2016,2350000,37.758626,-122.440801,Eureka Valley - Dolores Heights - Castro,8,SingleFamily,1929,94114
Address: 2105 Buchanan Street #6,2,3,1700,2/5/2016,1770000,37.789597,-122.430787,Pacific Heights,5,Condominium,1921,94115
Address: 2017 Buchanan Street,4,4,2850,2/5/2016,2800000,37.788913,-122.430728,Lower Pacific Heights,7,Condominium,1890,94115
Address: 1015 Ashbury Street #2,2,2,1252,2/5/2016,1350000,37.76432,-122.446342,Parnassus - Ashbury,4,Condominium,1913,94117
Address: 170 Bridgeview Drive,2,3,1297,2/5/2016,725000,37.735503,-122.397062,Silver Terrace,6,SingleFamily,1964,94124
Address: 884 Ingerson Avenue,3,5,1789,2/5/2016,850000,37.71805,-122.390617,Bayview,8,SingleFamily,1964,94124
Address: 475 Princeton Street,1,2,1254,2/5/2016,860000,37.72396,-122.413872,Portola,5,SingleFamily,1949,94134
Address: 333 1st Street #1702,1,1,713,2/4/2016,885000,37.787031,-122.393642,South Beach,3,Condominium,2004,94105
Address: 861 Rhode Island Street #A,2.5,4,2166,6/11/2015,1600000,37.757681,-122.401578,Potrero Hill,11,MultiFamily2To4,1908,94107
Address: 415 Amherst Street,1,2,1000,2/4/2016,760000,37.724352,-122.415124,Portola,4,SingleFamily,1949,94134
Address: 201 Holly Park Circle,2,3,2250,2/3/2016,227500,37.737764,-122.418634,Bernal Heights,8,SingleFamily,1910,94110
Address: 30 Otsego Avenue,2,3,1806,2/3/2016,1300000,37.726945,-122.439334,Mission Terrace,7,SingleFamily,1924,94112
Address: 80 Venus Street,1.5,3,1200,2/3/2016,810000,37.731771,-122.397584,Silver Terrace,5,SingleFamily,1941,94124
Address: 1816 Castro Street,1,2,884,2/3/2016,850000,37.747035,-122.433868,Noe Valley,5,Condominium,1918,94131
Address: 149 Laidley Street,2,3,2100,2/3/2016,1950000,37.739623,-122.428899,Glen Park,10,SingleFamily,1900,94131
Address: 737 Tehama Street #1,2,2,977,2/2/2016,1030000,37.775184,-122.411567,South of Market,5,Condominium,2006,94103
Address: 319 De Long Street,1,2,875,2/2/2016,565000,37.709411,-122.465031,Outer Mission,4,SingleFamily,1950,94112
Address: 1655 48th Avenue,1,2,697,2/2/2016,762000,37.755586,-122.508063,Outer Sunset,4,SingleFamily,1904,94122
Address: 4219 Folsom Street,2,3,1539,2/1/2016,950000,37.734334,-122.413534,Bernal Heights,7,SingleFamily,1976,94110
Address: 403 Main Street #518N,2,2,1118,1/29/2016,1415000,37.788008,-122.389643,South Beach,5,Condominium,1997,94105
Address: 188 Minna Street #38C,2.5,2,1670,1/29/2016,7500000,37.786289,-122.401374,Yerba Buena,5,Condominium,2005,94105
Address: 1200 Gough Street #22B,1,0,550,1/29/2016,650000,37.78482,-122.423994,Van Ness - Civic Center,2,Condominium,1966,94109
Address: 979 Guerrero Street,2,3,1440,1/29/2016,1275000,37.755554,-122.42316,Mission,7,Condominium,1885,94110
Address: 1940 Buchanan Street,1,3,1480,1/29/2016,1250000,37.788038,-122.430024,Lower Pacific Heights,5,Condominium,1904,94115
Address: 2275 47th Avenue,2.5,4,2193,1/29/2016,1225000,37.744067,-122.506187,Outer Parkside,7,SingleFamily,1962,94116
Address: 988 Fulton Street #326,1,1,417,1/29/2016,555000,37.778034,-122.43251,Western Addition,5,Condominium,1999,94117
Address: 487 19th Avenue,4,4,2596,1/29/2016,1900000,37.778728,-122.478448,Central Richmond,9,SingleFamily,1916,94121
Address: 448 Gold Mine Drive,3,4,2200,1/29/2016,1558000,37.739244,-122.4371,Diamond Heights,7,SingleFamily,1968,94131
Address: 8200 Oceanview Terrace #310,2,2,969,1/29/2016,658000,37.71048,-122.467645,Ingleside Heights,4,Condominium,2002,94132
Address: 750 Delano Avenue,1,2,840,1/28/2016,738000,37.719505,-122.445759,Outer Mission,4,SingleFamily,1987,94112
Address: 5 Lobos Street,2,4,1726,1/28/2016,950000,37.714682,-122.452504,Oceanview,7,SingleFamily,1974,94112
Address: 4524 Balboa Street,1,2,1200,1/28/2016,961000,37.775504,-122.507477,Outer Richmond,5,SingleFamily,1918,94121
Address: 527 Randolph Street,1,2,950,1/28/2016,695500,37.714051,-122.467584,Ingleside Heights,4,SingleFamily,1947,94132
Address: 1407 Montgomery Street #2,1,1,1000,1/28/2016,976000,37.802299,-122.404941,Telegraph Hill,3,Condominium,1870,94133
Address: 574 Natoma Street #102,1,0,376,1/27/2016,502000,37.779014,-122.409446,South of Market,1,Condominium,2012,94103
Address: 65 Bishop Street,1,3,800,1/27/2016,675000,37.718075,-122.404179,Visitacion Valley,4,SingleFamily,1900,94134
Address: 701 Pennsylvania Avenue,2,1,842,3/24/2015,640000,37.75738,-122.39283,Potrero Hill,2,Condominium,1999,94107
Address: 88 King Street #1121,2,2,1111,1/26/2016,1650000,37.780117,-122.389648,South Beach,4,MultiFamily2To4,2000,94107
Address: 57 Moneta Way,1,4,1325,1/26/2016,860000,37.712918,-122.449446,Outer Mission,6,SingleFamily,1929,94112
Address: 164 Seville Street,3,3,2234,1/26/2016,1125000,37.711727,-122.437085,Crocker Amazon,3,SingleFamily,1924,94112
Address: 145 Alpine Terrace,5.5,6,4749,1/26/2016,5100000,37.768186,-122.437144,Buena Vista Park,10,SingleFamily,2007,94117
Address: 3023 Broderick Street,2.5,3,1591,1/26/2016,1800000,37.798244,-122.44452,Cow Hollow,9,Condominium,1938,94123
Address: 4173 Cesar Chavez Street,4,4,3480,1/26/2016,4500000,37.747092,-122.432912,Noe Valley,8,SingleFamily,1900,94131
Address: 830 Alabama Street #B,2,3,1853,1/25/2016,1370000,37.75816,-122.411765,Mission,9,Condominium,1900,94110
Address: 95 Stoneyford Avenue,2,3,1400,1/25/2016,910000,37.729425,-122.42111,Excelsior,6,SingleFamily,1942,94112
Address: 518 Oak Street,1,2,1105,1/22/2016,1475000,37.774467,-122.428491,Hayes Valley,6,SingleFamily,1870,94102
Address: 1160 Mission Street #1908,2,2,1201,1/22/2016,1475000,37.778705,-122.412635,South of Market,4,Condominium,2008,94103
Address: 451 Kansas Street #461,1,0,450,1/22/2016,640000,37.764114,-122.402984,Potrero Hill,2,Condominium,2007,94107
Address: 2002 Pacific Avenue #4,3.5,3,3291,1/22/2016,4200000,37.794429,-122.428513,Pacific Heights,7,Condominium,1961,94109
Address: 554 Anderson Street,1,2,1015,1/22/2016,920000,37.736454,-122.415593,Bernal Heights,5,SingleFamily,1910,94110
Address: 566 South Van Ness Avenue #9,2,2,941,1/22/2016,945000,37.763992,-122.417823,Mission,5,Condominium,2007,94110
Address: 624 Hampshire Street,1,2,962,1/22/2016,1250000,37.761456,-122.408461,Mission,5,SingleFamily,1900,94110
Address: 40 Mirabel Avenue,2,2,1393,1/22/2016,1530000,37.746247,-122.416564,Bernal Heights,6,SingleFamily,1924,94110
Address: 712 Dorado Terrace #53,2.5,2,1332,1/22/2016,780000,37.725575,-122.4616,Mount Davidson Manor,4,Condominium,1985,94112
Address: 264 Grand View Avenue,1,1,590,1/22/2016,1193000,37.754001,-122.441489,Twin Peaks,5,SingleFamily,1907,94114
Address: 4450 24th Street,3,4,2500,1/22/2016,1400000,37.751072,-122.441843,Noe Valley,5,SingleFamily,1900,94114
Address: 584 Sanchez Street,4,4,2610,1/22/2016,2210000,37.759799,-122.43077,Eureka Valley - Dolores Heights - Castro,13,MultiFamily2To4,1900,94114
Address: 300 Castro Street,3,4,2451,1/22/2016,2400000,37.763918,-122.435614,Corona Heights,12,Miscellaneous,1900,94114
Address: 2319 39th Avenue,2,4,1362,1/22/2016,890000,37.743541,-122.497548,Outer Parkside,6,SingleFamily,1955,94116
Address: 27 Cutler Avenue,3,4,1622,1/28/2016,1325000,37.736824,-122.505856,Outer Parkside,9,SingleFamily,1949,94116
Address: 1535 Oak Street #2,1,1,765,1/22/2016,815000,37.771928,-122.4446,Haight-Ashbury,12,Condominium,1924,94117
Address: 558 17th Avenue,3,5,1990,1/22/2016,1240000,37.777463,-122.47562,Central Richmond,8,MultiFamily2To4,1916,94121
Address: 1722 31st Avenue,2,4,1824,1/22/2016,1700000,37.755071,-122.489092,Central Sunset,6,SingleFamily,1940,94122
Address: 17 San Andreas Way,4.5,5,4095,1/22/2016,3750000,37.734454,-122.463624,St. Francis Wood,9,SingleFamily,1937,94127
Address: 319 Arleta Avenue,3,5,1875,1/22/2016,417000,37.714392,-122.409432,Visitacion Valley,7,SingleFamily,1989,94134
Address: 4390 26th Street,3,5,2837,1/22/2016,2600000,37.748021,-122.437943,Noe Valley,9,SingleFamily,1928,94131
Address: 250 King Street #1008,1,1,787,1/21/2016,825000,37.777374,-122.393157,South of Market,3,Condominium,2004,94107
Address: 724 Noe Street,2,3,1577,1/21/2016,1680000,37.757402,-122.432758,Eureka Valley - Dolores Heights - Castro,6,SingleFamily,1927,94114
Address: 855 La Playa Street #162,1,1,805,1/21/2016,578000,37.772199,-122.510375,Outer Richmond,4,Condominium,1982,94121
Address: 855 La Playa Street #360,2,2,1193,1/21/2016,750000,37.772199,-122.510375,Outer Richmond,4,Condominium,1982,94121
Address: 4220 Irving Street,2,3,1675,1/21/2016,1150000,37.762654,-122.503312,Outer Sunset,7,SingleFamily,1950,94122
Address: 1423 Oakdale Avenue,2,3,1125,1/21/2016,638000,37.732554,-122.38726,Bayview,4,SingleFamily,1938,94124
Address: 15 Bishop Street,3,4,2200,1/21/2016,851000,37.718594,-122.403955,Visitacion Valley,8,SingleFamily,1980,94134
Address: 9 Edgar Place,4,4,1800,1/20/2016,1175000,37.720695,-122.452421,Ingleside,8,SingleFamily,1925,94112
Address: 1949 McAllister Street,3,2,2160,1/20/2016,1505000,37.776786,-122.444044,North Panhandle,7,Condominium,1900,94115
Address: 10 Miller Place #701,2,2,1000,1/19/2016,1290000,37.793228,-122.40891,Nob Hill,4,MultiFamily2To4,1963,94108
Address: 766 40th Avenue,1,2,1034,1/19/2016,1000000,37.774327,-122.500107,Outer Richmond,5,SingleFamily,1924,94121
Address: 22 Magnolia Street,1,2,1231,1/19/2016,1375000,37.80106,-122.43171,Marina,5,Condominium,1927,94123
Address: 170 King Street #928,2,2,1092,1/15/2016,1262500,37.77898,-122.391754,South Beach,4,Condominium,2007,94107
Address: 29 Cumberland Street,1,3,1525,1/15/2016,1300000,37.758876,-122.424258,Mission,6,Condominium,1907,94110
Address: 101 Lombard Street #610W,1,1,1030,1/15/2016,876500,37.80347,-122.40409,Telegraph Hill,4,Condominium,1984,94111
Address: 89 Theresa Street,1,2,1088,1/15/2016,875000,37.728438,-122.434292,Mission Terrace,5,SingleFamily,1923,94112
Address: 2200 Sacramento Street #901,2,1,952,1/15/2016,1125000,37.790681,-122.429498,Pacific Heights,4,Condominium,1964,94115
Address: 2299 Sacramento Street #3,1,2,1406,1/15/2016,1150000,37.790011,-122.43048,Pacific Heights,5,Condominium,1913,94115
Address: 2133 Pine Street,7,9,5085,1/15/2016,1550000,37.787988,-122.431495,Lower Pacific Heights,15,MultiFamily2To4,1900,94115
Address: 2670 47th Avenue,3,4,1546,1/15/2016,1075000,37.736702,-122.505008,Outer Parkside,7,SingleFamily,1944,94116
Address: 107 19th Avenue,2,2,1125,1/15/2016,1150000,37.785783,-122.478874,Lake,4,Condominium,1921,94121
Address: 1501 Greenwich Street #304,2,2,958,1/15/2016,1150000,37.80009,-122.424682,Cow Hollow,4,Condominium,2008,94123
Address: 1738 Lombard Street #T4,2,2,1078,1/15/2016,1400000,37.80091,-122.430229,Marina,4,Condominium,2004,94123
Address: 3725 Webster Street,2,3,1717,1/15/2016,1963000,37.805118,-122.435725,Marina,13,SingleFamily,1938,94123
Address: 3027 Webster Street,3.5,3,2002,1/15/2016,2350000,37.798579,-122.43433,Cow Hollow,9,SingleFamily,1906,94123
Address: 1546 McKinnon Avenue,2,4,1175,1/15/2016,720000,37.735509,-122.388068,Bayview,5,SingleFamily,1940,94124
Address: 478 Los Palmos Drive,1,3,1450,1/15/2016,1200000,37.734682,-122.452493,Westwood Highlands,6,SingleFamily,1947,94127
Address: 367 Vernon Street,3,4,2100,1/15/2016,1300000,37.719099,-122.468325,Merced Heights,7,SingleFamily,1937,94132
Address: 115 Colby Street,3,3,1753,1/15/2016,950000,37.728726,-122.413656,Portola,7,SingleFamily,1970,94134
Address: 138 Bronte Street,1,2,1077,1/14/2016,1045000,37.737634,-122.410499,Bernal Heights,6,SingleFamily,1950,94110
Address: 1819 26th Avenue,1,2,1175,1/14/2016,1000000,37.75348,-122.484273,Central Sunset,5,SingleFamily,1939,94122
Address: 2421 Franklin Street,4,4,2096,1/14/2016,2400000,37.79675,-122.425354,Pacific Heights,8,Condominium,1922,94123
Address: 2865 Vallejo Street,2,3,2230,1/14/2016,7450000,37.79376,-122.444385,Pacific Heights,9,SingleFamily,1925,94123
Address: 1455 Oakdale Avenue,3,5,1594,1/14/2016,935000,37.732869,-122.387815,Bayview,8,SingleFamily,1964,94124
Address: 1920 Jones Street,2,3,1675,1/14/2016,1950000,37.799094,-122.41542,Russian Hill,6,Condominium,1906,94133
Address: 231 Clinton Park,1,2,1440,1/13/2016,1380000,37.768869,-122.425243,Mission,5,Condominium,1922,94103
Address: 721 Delano Avenue,1,1,1210,1/13/2016,700000,37.719729,-122.445083,Outer Mission,5,SingleFamily,1930,94112
Address: 324 Chicago Way,1,3,1465,1/13/2016,990000,37.709611,-122.433129,Crocker Amazon,7,SingleFamily,1924,94112
Address: 2470 Broadway Street,5,5,3851,1/13/2016,6500000,37.794209,-122.437789,Pacific Heights,13,SingleFamily,1910,94115
Address: 528 34th Avenue,6,8,4158,1/13/2016,2240000,37.779053,-122.494007,Outer Richmond,15,Duplex,1987,94121
Address: 2425 Lincoln Way,1,2,1500,1/13/2016,1265000,37.764874,-122.484231,Central Sunset,6,SingleFamily,1923,94122
Address: 2828 Divisadero Street,5.5,5,5590,1/13/2016,8400000,37.795785,-122.441671,Cow Hollow,11,SingleFamily,1912,94123
Address: 2130 Quesada Avenue,2,4,995,1/13/2016,680000,37.738125,-122.399345,Silver Terrace,5,SingleFamily,1944,94124
Address: 59 Manor Drive,1.5,3,1575,1/13/2016,1250000,37.727581,-122.464761,Mount Davidson Manor,7,SingleFamily,1930,94127
Address: 22 Liberty Street,1,3,1379,1/12/2016,1389000,37.75791,-122.421827,Mission,6,Condominium,1879,94110
Address: 601 Capitol Avenue,2,4,2008,1/12/2016,800000,37.715924,-122.459257,Oceanview,7,SingleFamily,1977,94112
Address: 1621 McAllister Street,2,7,3974,1/12/2016,2400000,37.777505,-122.438785,North Panhandle,12,Duplex,1900,94115
Address: 554 46th Avenue,1,2,830,1/12/2016,665000,37.778042,-122.506661,Outer Richmond,5,SingleFamily,1900,94121
Address: 12 Las Villas Court,3,3,1480,1/12/2016,570000,37.733425,-122.385585,Bayview,7,SingleFamily,1995,94124
Address: 620 29th Street,2,5,1365,1/12/2016,1050000,37.743503,-122.433974,Noe Valley,9,SingleFamily,1913,94131
Address: 383 Missouri Street,1,2,1625,1/11/2016,1310000,37.761581,-122.396117,Potrero Hill,6,Condominium,1904,94107
Address: 1250 Clay Street #306,1,1,541,1/11/2016,695000,37.793575,-122.41367,Nob Hill,3,Condominium,1950,94108
Address: 1177 California Street #1212,1,1,1056,1/11/2016,1200000,37.791089,-122.413658,Downtown,3,Condominium,1978,94108
Address: 1200 Gough Street #16D,1,1,900,1/11/2016,825000,37.78482,-122.423994,Van Ness - Civic Center,4,Condominium,1966,94109
Address: 39 Bradford Street,1,2,775,1/11/2016,1250000,37.742618,-122.409173,Bernal Heights,4,SingleFamily,1947,94110
Address: 111 Harold Avenue,1,2,1087,1/11/2016,720000,37.720294,-122.453327,Ingleside,4,SingleFamily,1947,94112
Address: 86 Restani Way,3.5,3,2781,1/11/2016,1054000,37.718283,-122.443689,Outer Mission,8,SingleFamily,1954,94112
Address: 355 1st Street #1702,2,2,1166,1/8/2016,1570000,37.787029,-122.3936,South Beach,4,Condominium,2004,94105
Address: 88 King Street #103,3,3,1466,1/8/2016,1370000,37.78063,-122.389635,South Beach,6,Condominium,2000,94107
Address: 81 Frank Norris Street #504,1,1,800,1/8/2016,718000,37.789081,-122.420051,Downtown,4,Condominium,2007,94109
Address: 72 Crescent Avenue,3,4,3000,1/8/2016,1625000,37.734991,-122.42276,Bernal Heights,7,SingleFamily,1951,94110
Address: 1316 Guerrero Street,5,6,4000,1/8/2016,1706000,37.749991,-122.423045,Mission,14,Duplex,1925,94110
Address: 3532 23rd Street,1,2,1375,1/8/2016,1900000,37.753856,-122.422349,Mission,10,SingleFamily,1900,94110
Address: 1406 Golden Gate Avenue,3,3,1628,1/8/2016,1200000,37.779515,-122.433995,Western Addition,6,Condominium,1885,94115
Address: 1833 Laguna Street,4.5,5,4400,1/8/2016,5500000,37.788072,-122.428971,Lower Pacific Heights,9,SingleFamily,1900,94115
Address: 1576 Waller Street,1,3,1668,1/8/2016,1495000,37.768882,-122.45008,Haight-Ashbury,8,Condominium,1900,94117
Address: 1558 45th Avenue,2,2,1370,1/8/2016,930000,37.757512,-122.504319,Outer Sunset,8,SingleFamily,1957,94122
Address: 2165 Revere Avenue,1.5,3,1125,1/8/2016,1040000,37.737461,-122.400912,Silver Terrace,5,SingleFamily,1925,94124
Address: 95 Red Rock Way #303M,1,0,592,1/8/2016,530000,37.746324,-122.441517,Diamond Heights,2,Condominium,1972,94131
Address: 270 Bright Street,1,2,1010,1/8/2016,750000,37.715614,-122.463238,Ingleside Heights,4,SingleFamily,1928,94132
Address: 1097 Howard Street #303,1,1,1056,1/7/2016,975000,37.777996,-122.408912,South of Market,2,Condominium,1998,94103
Address: 260 King Street #605,2,2,1488,1/7/2016,1475000,37.777641,-122.393417,South of Market,4,Condominium,2004,94107
Address: 930 Ashbury Street,4,4,2510,1/7/2016,2278000,37.765123,-122.445719,Parnassus - Ashbury,10,SingleFamily,1917,94117
Address: 133 Richardson Avenue,3,3,2323,1/7/2016,2080000,37.79989,-122.446839,Cow Hollow,6,SingleFamily,1939,94123
Address: 3315 Pierce Street,3.5,3,2255,1/7/2016,2500000,37.80065,-122.439786,Marina,7,SingleFamily,1925,94123
Address: 601 Van Ness Avenue #201,1,1,750,1/6/2016,555000,37.781386,-122.421406,Van Ness - Civic Center,3,Condominium,1982,94102
Address: 260 King Street #1009,1,1,823,1/6/2016,750000,37.777191,-122.393394,South of Market,3,Condominium,2004,94107
Address: 728 Alabama Street #105,1,1,642,1/6/2016,655000,37.760025,-122.412025,Mission,3,Condominium,1995,94110
Address: 50 Roscoe Street,2,4,2150,1/6/2016,1735000,37.734268,-122.419017,Bernal Heights,10,MultiFamily2To4,1963,94110
Address: 14 Stoneyford Avenue,1,3,1158,1/6/2016,650000,37.730923,-122.421186,Excelsior,6,SingleFamily,1942,94112
Address: 324 Hanover Street,1,2,1325,1/6/2016,700000,37.70932,-122.443403,Crocker Amazon,5,SingleFamily,1927,94112
Address: 1760 Ofarrell Street #18,2,2,1061,1/6/2016,838000,37.783415,-122.43399,Western Addition,5,Condominium,1984,94115
Address: 811 40th Avenue,1,2,1095,1/6/2016,880000,37.773411,-122.500678,Outer Richmond,5,SingleFamily,1914,94121
Address: 938 Market Street,1,1,693,11/25/2009,310000,37.783908,-122.408889,Downtown,4,Condominium,2007,94102
Address: 632 Mississippi Street,1,2,1100,1/5/2016,1420000,37.758382,-122.394495,Potrero Hill,5,SingleFamily,1922,94107
Address: 7 Lee Avenue,3,2,1370,1/5/2016,1100000,37.718407,-122.454339,Ingleside,4,SingleFamily,1924,94112
Address: 2223 44th Avenue,2,3,1747,1/5/2016,1325000,37.7451,-122.503034,Outer Parkside,9,SingleFamily,1939,94116
Address: 1626 32nd Avenue,3,4,2100,1/5/2016,1425000,37.756819,-122.490297,Central Sunset,9,SingleFamily,1935,94122
Address: 1387 14th Avenue,2,4,1926,1/5/2016,1655000,37.762208,-122.471851,Inner Sunset,8,SingleFamily,1931,94122
